wallet,label,quality,depth,liquidation,age,activity,volume,utilization,handP,events,closed,open
0xE89B5163d6D7eF4aB3726b8f87ADE0ceDAC25A67,1,0.594865,0.002582,0.004297,0.855358,0.137931,0.072356,0,0.534737,8,2,0
0x67f0Ee84300386cf224d60bc3D1bE35213255086,1,0.6,0,0,0.869415,0.056603,0,0.001996,0.530333,3,0,2
0x8F9127cAcAF2727004B47B81ea7F77fd75294a8F,1,0.563765,0.018917,0.031135,0.885475,0.107142,0,0,0.49553,6,2,0
0x45847bb240f378667caAe2AD55d4E2d01F1Aee6F,1,0.481345,0.068859,0.109729,0.579713,0.305555,0.047619,0.143101,0.339088,22,1,4
0x67FE71a3d3528127f856e5e6FdaC955281404bF0,1,0.6,0,0,0.869303,0.038461,0,0.001996,0.528727,2,0,2
0x1dc9e47e76469Ef960524b48d064408a02d82882,1,0.6,0,0,0.867618,0.019607,0,0.000999,0.526803,1,0,1
0x980B13db84D36780BF37C3d0a7772b2B0f56556B,1,0.6,0,0,0.726586,0.166666,0.011662,0,0.509084,10,0,0
0x022DEC3a4E53167d55379Ff00FBC8640892DF447,0,0.606405,0.004858,0,0.869291,0.090909,0,0,0.54016,5,2,0
0xE8AC72f4F16CC601a426106Aa9C6079D4b840013,0,0.6,0,0,0.669849,0.074074,0.012052,0,0.488255,4,0,0
0x7f5ff301328391930fFfbb1a781CAB47f5Ec48C4,0,0.6,0,0,0.045868,0.019607,0,0.000999,0.347,1,0,1
0x58207AdeB45a442f3f15811526FEd0d3f6f5C640,0,0.590565,0.004769,0.007924,0.869124,0.342105,0.432527,0,0.581451,26,2,0
0x2f4436674bC74eaE8910e1471394c72AEb464b72,0,0.6,0,0,0.50273,0.038461,0.028937,0,0.449189,2,0,0
0x1B9eFC107d3cBC3D56060dF25b20e203732A1FB0,0,0.548867,0.027188,0.044506,0.77594,0.122807,0.132847,0,0.46601,7,1,0
0x220e1e6FEcE87cBd03F87c40F45AfbbB3237b393,0,0.6,0,0,0.479943,0.137931,0.339933,0.720826,0.408752,8,0,1
0xBA618F295EfF5fB2EC398C05f4535f034678EdD7,0,0.909824,0.507567,0,0.415533,0.509803,0.917409,0.395038,0.843797,52,1,1
0xCEEc00500Ec676dAd7158E0239e2d2A5520e0D9D,1,0.328254,0.730733,0.760431,0.678146,0.568965,0.937862,0,0.191695,66,5,0
0x62F07dC8E51527D08F134522a5012042f4676E7a,1,0.6,0,0,0.869365,0.056603,0,0.001996,0.530322,3,0,2
0x54D134F54F0EFaeb6D2E4738921396EF5067FDA4,1,0.511542,0.109216,0.125907,0.61917,0.253731,0.02477,0.001937,0.378837,17,3,1
0x5Abbd341B785A963892341bc74bA75EE069122f0,1,0.563503,0.056854,0.058471,0.832827,0.295774,0.044342,0.05473,0.492948,21,5,1
0x891F6a8DF7673D24783F856eeD248F5745a3d866,1,0.196677,0.413463,0.533899,0.890305,0.152542,0.711632,0.423178,0.131609,9,3,1
