wallet,label,quality,depth,liquidation,age,activity,volume,utilization,handP,events,closed,open
0x97F0d7f9d9e7Fe4BFBAbc04BE336dc058873A0E8,1,0.6,0,0,0.683726,0.193548,0.773201,0.902448,0.559141,12,0,2
0xd34Cd7Eb8adBF33F3f528FE19377B5DFe07a6eeA,1,0.6,0,0,0.844215,0.019607,0,0.000999,0.535518,1,0,1
0xe667af0C909bBF0BCf12DE10055f1b340Ab24AfB,1,0.6,0,0,0.226881,0.090909,0.056069,0.165971,0.430605,5,0,1
0x1559529599351405e04Bc8900f6071fB99f489fd,1,0.817732,0.263824,0,0.450763,0.206349,0.260901,0.382558,0.741946,13,3,2
0x14B7f175e1895f56882C6F5223f84da90855fd20,1,0.6,0,0,0.572197,0.166666,0.376636,0.743655,0.492266,10,0,1
0xd68c6aC1A9353bA17d99f1f9BD62279BcDaD497A,1,0.6,0,0,0.521884,0.39759,0.237572,0.413833,0.530183,33,0,1
0x325B38bFD989ed85079135573e0e361ca7A2f44E,1,0.6,0,0,0.795761,0.019607,0,0.000999,0.527072,1,0,1
0x89967A15065ef498FC0Aad7c9009e6A03101c7E0,1,0.508366,0.0513,0.082674,0.730937,0.166666,0.16833,0.450247,0.434711,10,1,1
0xF246b6eF6Aa06e57749350350aA9bcCd745f5cE9,1,0.885467,0.427831,0,0.534377,0.462365,0.812312,0,0.908115,43,2,0
0xbcCC9caAaCAeAA32710d816d01ab36dAB4F2959C,1,0.6,0,0,0.057696,0.193548,0.424692,0.629492,0.425445,12,0,1
0x0c82abE3D9e8303ea3903377f8d43Eb9A1048a5F,1,0.840982,0.312541,0,0.26581,0.438202,0.61174,0.52205,0.800021,39,2,1
0x7E70E2b0c41a3d9723FD85b2D7dD55BD8c514173,1,0.6,0,0,0.246015,0.056603,0.007148,0.02629,0.435351,3,0,1
0x4704a489352F4Dd4901a60f71720cADA11DCb6b3,1,0.6,0,0,0.017635,0.038461,0.148646,0.466097,0.372425,2,0,1
0x80ea0aBdf734236Fe2002b62A316AfEBd174152C,1,0.6,0,0,0.17766,0.137931,0.241849,0.470619,0.426532,8,0,1
0x856aa6A15Aa283Eda79345E1682dA42561601fEd,1,0.882853,0.420073,0,0.769481,0.166666,0.886882,0.384597,0.895156,10,2,1
0x4a64bC685239a49Ca627c21103E17AD3f517D496,1,0.6,0,0,0.518741,0.333333,0.691281,0.889916,0.540391,25,0,1
0x6F89427203a4aB1011B9bE4624C299B8A8A4F56d,1,0.59537,0.002327,0.003872,0.864994,0.038461,0.001398,0,0.538145,2,1,0
0x27DD86F337f85a3bbdA0d7BCAfd24bCa3043Be28,1,0.6,0,0,0.201895,0.090909,0.006161,0,0.435258,5,0,0
0xB9702296c4C6AF3fB62e9523Dc08E5A451c12a0c,1,0.448803,0.758349,0.747381,0.795112,0.751243,0.98844,0.093577,0.523912,151,7,1
